file_id,audio_file,labels,split
132813,132813.wav,"Laughter,Human_voice",dev
186955,186955.wav,"Fireworks,Explosion",dev
242030,242030.wav,"Wind_instrument_and_woodwind_instrument,Musical_instrument,Music",dev
350992,350992.wav,"Frying_(food),Domestic_sounds_and_home_sounds",dev
29675,29675.wav,"Thunder,Rain,Water,Thunderstorm",dev
34052,34052.wav,"Church_bell,Bell",dev
236394,236394.wav,"Male_speech_and_man_speaking,Speech,Human_voice",dev
235104,235104.wav,"Laughter,Human_voice",dev
365102,365102.wav,"Boiling,Tick,Hiss,Liquid,Water",eval
49089,49089.wav,"Thunder,Thunderstorm",dev
248778,248778.wav,"Wind_instrument_and_woodwind_instrument,Musical_instrument,Music",dev
75188,75188.wav,"Typewriter,Typing,Domestic_sounds_and_home_sounds",eval
381462,381462.wav,"Keyboard_(musical),Musical_instrument,Music",dev
406607,406607.wav,"Brass_instrument,Musical_instrument,Music",dev
363092,363092.wav,"Crackle,Fire",dev
201308,201308.wav,"Zipper_(clothing),Domestic_sounds_and_home_sounds",dev
119242,119242.wav,"Wind_instrument_and_woodwind_instrument,Musical_instrument,Music",dev
17751,17751.wav,"Water,Splash_and_splatter,Liquid",eval
354626,354626.wav,"Wind_instrument_and_woodwind_instrument,Musical_instrument,Music",dev
81478,81478.wav,"Plucked_string_instrument,Musical_instrument,Music",dev
156831,156831.wav,Alarm,dev
366858,366858.wav,"Hands,Tools",eval
86436,86436.wav,"Female_speech_and_woman_speaking,Speech,Human_voice",dev
236031,236031.wav,"Bark,Dog,Domestic_animals_and_pets,Animal",dev
354838,354838.wav,"Wind_instrument_and_woodwind_instrument,Musical_instrument,Music",dev
200048,200048.wav,"Snare_drum,Drum,Percussion,Musical_instrument,Music",dev
358217,358217.wav,"Bowed_string_instrument,Musical_instrument,Music",dev
185760,185760.wav,Water,dev
84651,84651.wav,"Growling,Dog,Domestic_animals_and_pets,Animal",dev
167253,167253.wav,"Keyboard_(musical),Brass_instrument,Singing,Musical_instrument,Music,Human_voice,Bowed_string_instrument",eval
358192,358192.wav,"Bowed_string_instrument,Musical_instrument,Music",dev
354285,354285.wav,"Bowed_string_instrument,Musical_instrument,Music",dev
155009,155009.wav,"Telephone,Alarm",dev
352715,352715.wav,"Cowbell,Tambourine,Bird,Wind_instrument_and_woodwind_instrument,Drum,Cymbal,Bird_vocalization_and_bird_call_and_bird_song,Frog,Wild_animals,Animal,Musical_instrument,Music,Percussion,Bell",eval
144228,144228.wav,"Microwave_oven,Domestic_sounds_and_home_sounds",dev
212123,212123.wav,"Sink_(filling_or_washing),Water_tap_and_faucet,Domestic_sounds_and_home_sounds",dev
392987,392987.wav,Engine,dev
357455,357455.wav,"Trumpet,Brass_instrument,Musical_instrument,Music",dev
340462,340462.wav,"Train,Rail_transport,Vehicle",dev
119436,119436.wav,"Idling,Engine_starting,Engine",eval
179313,179313.wav,"Screaming,Human_voice",dev
234097,234097.wav,"Waves_and_surf,Ocean,Water",dev
352984,352984.wav,"Dog,Domestic_animals_and_pets,Animal",dev
124084,124084.wav,"Subway_and_metro_and_underground,Rail_transport,Vehicle",dev
378709,378709.wav,"Waves_and_surf,Ocean,Water",dev
16751,16751.wav,"Raindrop,Rain,Water",dev
29897,29897.wav,"Cutlery_and_silverware,Domestic_sounds_and_home_sounds",dev
213082,213082.wav,"Fireworks,Explosion",dev
261035,261035.wav,"Organ,Keyboard_(musical),Musical_instrument,Music",dev
58028,58028.wav,"Strum,Guitar,Plucked_string_instrument,Musical_instrument,Music",dev
154322,154322.wav,"Wind_instrument_and_woodwind_instrument,Musical_instrument,Music",dev
327688,327688.wav,"Zipper_(clothing),Domestic_sounds_and_home_sounds",eval
144231,144231.wav,"Microwave_oven,Domestic_sounds_and_home_sounds",dev
51870,51870.wav,"Bass_drum,Drum,Percussion,Musical_instrument,Music",dev
162929,162929.wav,"Bass_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",dev
117518,117518.wav,"Sliding_door,Alarm,Train,Rail_transport,Vehicle,Door,Domestic_sounds_and_home_sounds",eval
33930,33930.wav,"Dishes_and_pots_and_pans,Domestic_sounds_and_home_sounds",dev
135847,135847.wav,"Drill,Power_tool,Tools",eval
325229,325229.wav,"Knock,Wood,Door,Domestic_sounds_and_home_sounds",dev
175234,175234.wav,"Speech,Human_voice",dev
254634,254634.wav,"Drum_kit,Percussion,Musical_instrument,Music",dev
359440,359440.wav,"Wind_instrument_and_woodwind_instrument,Musical_instrument,Music",dev
264919,264919.wav,"Singing,Musical_instrument,Human_voice,Music",dev
26215,26215.wav,"Wind,Train,Rail_transport,Vehicle",eval
145678,145678.wav,"Musical_instrument,Music",dev
96718,96718.wav,"Clock,Mechanisms",dev
